true,pred,count,rate
4,11,113,0.2677725118483412
4,0,95,0.22511848341232227
2,11,67,0.5929203539823009
0,4,65,0.21241830065359477
11,4,50,0.19455252918287938
10,0,48,0.1875
0,10,44,0.1437908496732026
0,11,36,0.11764705882352941
5,10,35,0.5737704918032787
8,11,33,0.4782608695652174
4,9,29,0.06872037914691943
1,11,28,0.5
9,0,24,0.14545454545454545
9,11,24,0.14545454545454545
9,4,22,0.13333333333333333
11,0,21,0.08171206225680934
0,9,17,0.05555555555555555
5,0,15,0.2459016393442623
4,10,15,0.035545023696682464
6,11,13,0.5
8,4,13,0.18840579710144928
10,4,13,0.05078125
7,0,12,0.5454545454545454
3,10,12,0.5
2,4,12,0.10619469026548672
1,4,11,0.19642857142857142
9,10,11,0.06666666666666667
10,9,11,0.04296875
2,9,10,0.08849557522123894
1,9,9,0.16071428571428573
10,3,9,0.03515625
10,11,8,0.03125
11,9,8,0.0311284046692607
7,4,7,0.3181818181818182
11,10,7,0.027237354085603113
4,2,7,0.016587677725118485
3,0,6,0.25
8,2,6,0.08695652173913043
2,0,5,0.04424778761061947
3,4,4,0.16666666666666666
6,4,4,0.15384615384615385
1,0,4,0.07142857142857142
5,11,4,0.06557377049180328
5,4,4,0.06557377049180328
2,10,4,0.035398230088495575
11,8,4,0.01556420233463035
4,1,4,0.009478672985781991
6,1,3,0.11538461538461539
8,0,3,0.043478260869565216
2,8,3,0.02654867256637168
11,1,3,0.011673151750972763
11,2,3,0.011673151750972763
11,3,3,0.011673151750972763
6,0,2,0.07692307692307693
6,9,2,0.07692307692307693
5,9,2,0.03278688524590164
8,9,2,0.028985507246376812
10,5,2,0.0078125
0,2,2,0.006535947712418301
4,8,2,0.004739336492890996
7,10,1,0.045454545454545456
7,11,1,0.045454545454545456
7,9,1,0.045454545454545456
3,11,1,0.041666666666666664
3,9,1,0.041666666666666664
6,10,1,0.038461538461538464
6,8,1,0.038461538461538464
1,10,1,0.017857142857142856
1,2,1,0.017857142857142856
5,3,1,0.01639344262295082
8,1,1,0.014492753623188406
2,1,1,0.008849557522123894
2,3,1,0.008849557522123894
9,3,1,0.006060606060606061
9,8,1,0.006060606060606061
0,1,1,0.0032679738562091504
0,3,1,0.0032679738562091504
