clip_id,split,label,uploader_id,audio_path,preprocessed_wav,effective_dur_sec,rms_dbfs,peak,clipping_flag
8084,train,广东省,1382375931,datasets/oggs/8084.ogg,artifacts/full/audio_preprocessed/8084.wav,1.21,-20.00000019422881,0.43894559144973755,0
12444,train,广东省,1634589290,datasets/oggs/12444.ogg,artifacts/full/audio_preprocessed/12444.wav,15.037125,-20.13204377904211,0.9900000095367432,0
33870,train,广东省,484724400,datasets/oggs/33870.ogg,artifacts/full/audio_preprocessed/33870.wav,12.582,-19.999999763499176,0.680851936340332,0
33229,val,广东省,1809280106,datasets/oggs/33229.ogg,artifacts/full/audio_preprocessed/33229.wav,5.716375,-20.322456639236414,0.9900000095367432,0
32166,train,广东省,89068591,datasets/oggs/32166.ogg,artifacts/full/audio_preprocessed/32166.wav,1.2951875,-19.99999968438868,0.8367102742195129,0
8169,val,广东省,1650200708,datasets/oggs/8169.ogg,artifacts/full/audio_preprocessed/8169.wav,1.009375,-19.99999996932334,0.4863356053829193,0
27275,val,广东省,269790447,datasets/oggs/27275.ogg,artifacts/full/audio_preprocessed/27275.wav,21.57875,-20.00000018819258,0.969115138053894,0
10473,train,广东省,4236137002,datasets/oggs/10473.ogg,artifacts/full/audio_preprocessed/10473.wav,2.3135,-20.00000009818328,0.6023919582366943,0
34953,train,广东省,4030530058,datasets/oggs/34953.ogg,artifacts/full/audio_preprocessed/34953.wav,2.0026875,-20.00000000403762,0.47866421937942505,1
7254,test,广东省,3984045700,datasets/oggs/7254.ogg,artifacts/full/audio_preprocessed/7254.wav,1.767125,-20.000000151402432,0.6445561647415161,1
21427,val,广东省,2067532886,datasets/oggs/21427.ogg,artifacts/full/audio_preprocessed/21427.wav,2.39275,-20.787432646127893,0.9900000095367432,0
7691,train,广东省,2335275506,datasets/oggs/7691.ogg,artifacts/full/audio_preprocessed/7691.wav,8.89,-21.521441406111357,0.9900000095367432,0
35351,train,广东省,465053189,datasets/oggs/35351.ogg,artifacts/full/audio_preprocessed/35351.wav,1.31575,-19.99999975249722,0.5179231762886047,0
